latitude,longitude,number,Mean_WPD_kW_per_m
0.0,7.0,0,8.8765
0.0,7.5,0,9.6692
0.0,8.0,0,9.7255
0.0,8.5,0,7.5704
0.0,9.0,0,2.7886
0.0,9.5,0,0.9908
0.0,10.0,0,
-0.5,-5.0,0,10.4547
-0.5,-4.5,0,10.402
-0.5,-4.0,0,10.3766
-0.5,-3.5,0,10.3823
-0.5,-3.0,0,10.401
-0.5,-2.5,0,10.4086
-0.5,-2.0,0,10.4004
-0.5,-1.5,0,10.3869
-0.5,-1.0,0,10.3734
-0.5,-0.5,0,10.3666
-0.5,0.0,0,10.368
-0.5,0.5,0,10.3771
-0.5,1.0,0,10.3891
-0.5,1.5,0,10.3985
-0.5,2.0,0,10.4007
-0.5,2.5,0,10.3907
-0.5,3.0,0,10.3667
-0.5,3.5,0,10.332
-0.5,4.0,0,10.2879
-0.5,4.5,0,10.2314
-0.5,5.0,0,10.142
-0.5,5.5,0,9.67
-0.5,6.0,0,9.2289
-0.5,6.5,0,9.7161
-0.5,7.0,0,9.9508
-0.5,7.5,0,10.0588
-0.5,8.0,0,10.0119
-0.5,8.5,0,7.2347
-0.5,9.0,0,1.0875
-0.5,9.5,0,0.4567
-0.5,10.0,0,
-1.0,-5.0,0,10.6754
-1.0,-4.5,0,10.6127
-1.0,-4.0,0,10.5821
-1.0,-3.5,0,10.5832
-1.0,-3.0,0,10.5892
-1.0,-2.5,0,10.589
-1.0,-2.0,0,10.5727
-1.0,-1.5,0,10.5496
-1.0,-1.0,0,10.5303
-1.0,-0.5,0,10.5204
-1.0,0.0,0,10.519
-1.0,0.5,0,10.5247
-1.0,1.0,0,10.5334
-1.0,1.5,0,10.5392
-1.0,2.0,0,10.5358
-1.0,2.5,0,10.5236
-1.0,3.0,0,10.4971
-1.0,3.5,0,10.4601
-1.0,4.0,0,10.4156
-1.0,4.5,0,10.362
-1.0,5.0,0,10.2877
-1.0,5.5,0,9.4886
-1.0,6.0,0,9.0156
-1.0,6.5,0,9.9842
-1.0,7.0,0,10.1741
-1.0,7.5,0,10.2493
-1.0,8.0,0,10.1932
-1.0,8.5,0,9.7422
-1.0,9.0,0,3.0486
-1.0,9.5,0,
-1.0,10.0,0,
-1.5,-5.0,0,10.9177
-1.5,-4.5,0,10.8487
-1.5,-4.0,0,10.8146
-1.5,-3.5,0,10.8093
-1.5,-3.0,0,10.8083
-1.5,-2.5,0,10.797
-1.5,-2.0,0,10.7704
-1.5,-1.5,0,10.7394
-1.5,-1.0,0,10.7136
-1.5,-0.5,0,10.6995
-1.5,0.0,0,10.694
-1.5,0.5,0,10.6947
-1.5,1.0,0,10.6985
-1.5,1.5,0,10.6981
-1.5,2.0,0,10.6894
-1.5,2.5,0,10.673
-1.5,3.0,0,10.6424
-1.5,3.5,0,10.6031
-1.5,4.0,0,10.5569
-1.5,4.5,0,10.5074
-1.5,5.0,0,10.4534
-1.5,5.5,0,10.2422
-1.5,6.0,0,10.0662
-1.5,6.5,0,10.3381
-1.5,7.0,0,10.3998
-1.5,7.5,0,10.4207
-1.5,8.0,0,10.3771
-1.5,8.5,0,10.1017
-1.5,9.0,0,7.6146
-1.5,9.5,0,
-1.5,10.0,0,
-2.0,-5.0,0,11.174
-2.0,-4.5,0,11.0995
-2.0,-4.0,0,11.0622
-2.0,-3.5,0,11.0521
-2.0,-3.0,0,11.0449
-2.0,-2.5,0,11.0217
-2.0,-2.0,0,10.9839
-2.0,-1.5,0,10.9468
-2.0,-1.0,0,10.9161
-2.0,-0.5,0,10.896
-2.0,0.0,0,10.8871
-2.0,0.5,0,10.8832
-2.0,1.0,0,10.8803
-2.0,1.5,0,10.875
-2.0,2.0,0,10.8618
-2.0,2.5,0,10.8398
-2.0,3.0,0,10.8053
-2.0,3.5,0,10.7635
-2.0,4.0,0,10.7149
-2.0,4.5,0,10.666
-2.0,5.0,0,10.6242
-2.0,5.5,0,10.5924
-2.0,6.0,0,10.5739
-2.0,6.5,0,10.5707
-2.0,7.0,0,10.5756
-2.0,7.5,0,10.5724
-2.0,8.0,0,10.5381
-2.0,8.5,0,10.3603
-2.0,9.0,0,8.5482
-2.0,9.5,0,3.8987
-2.0,10.0,0,
-2.5,-5.0,0,11.4382
-2.5,-4.5,0,11.3581
-2.5,-4.0,0,11.3177
-2.5,-3.5,0,11.3023
-2.5,-3.0,0,11.2849
-2.5,-2.5,0,11.2532
-2.5,-2.0,0,11.2079
-2.5,-1.5,0,11.1633
-2.5,-1.0,0,11.1283
-2.5,-0.5,0,11.1049
-2.5,0.0,0,11.0917
-2.5,0.5,0,11.0829
-2.5,1.0,0,11.0761
-2.5,1.5,0,11.0656
-2.5,2.0,0,11.0474
-2.5,2.5,0,11.0216
-2.5,3.0,0,10.9844
-2.5,3.5,0,10.9389
-2.5,4.0,0,10.8892
-2.5,4.5,0,10.84
-2.5,5.0,0,10.7975
-2.5,5.5,0,10.7642
-2.5,6.0,0,10.7449
-2.5,6.5,0,10.7388
-2.5,7.0,0,10.7391
-2.5,7.5,0,10.7351
-2.5,8.0,0,10.702
-2.5,8.5,0,10.5924
-2.5,9.0,0,9.9235
-2.5,9.5,0,8.0566
-2.5,10.0,0,
-3.0,-5.0,0,11.7074
-3.0,-4.5,0,11.6223
-3.0,-4.0,0,11.5769
-3.0,-3.5,0,11.5535
-3.0,-3.0,0,11.5276
-3.0,-2.5,0,11.4878
-3.0,-2.0,0,11.4367
-3.0,-1.5,0,11.3883
-3.0,-1.0,0,11.35
-3.0,-0.5,0,11.3243
-3.0,0.0,0,11.3082
-3.0,0.5,0,11.2968
-3.0,1.0,0,11.2865
-3.0,1.5,0,11.2727
-3.0,2.0,0,11.2507
-3.0,2.5,0,11.2211
-3.0,3.0,0,11.1815
-3.0,3.5,0,11.1351
-3.0,4.0,0,11.085
-3.0,4.5,0,11.0355
-3.0,5.0,0,10.9922
-3.0,5.5,0,10.9576
-3.0,6.0,0,10.935
-3.0,6.5,0,10.9244
-3.0,7.0,0,10.9207
-3.0,7.5,0,10.9132
-3.0,8.0,0,10.8832
-3.0,8.5,0,10.8019
-3.0,9.0,0,10.577
-3.0,9.5,0,9.7422
-3.0,10.0,0,8.2706
-3.5,-5.0,0,11.9756
-3.5,-4.5,0,11.886
-3.5,-4.0,0,11.8357
-3.5,-3.5,0,11.8058
-3.5,-3.0,0,11.7713
-3.5,-2.5,0,11.7236
-3.5,-2.0,0,11.6678
-3.5,-1.5,0,11.6181
-3.5,-1.0,0,11.5793
-3.5,-0.5,0,11.553
-3.5,0.0,0,11.5349
-3.5,0.5,0,11.5206
-3.5,1.0,0,11.5073
-3.5,1.5,0,11.4906
-3.5,2.0,0,11.465
-3.5,2.5,0,11.4333
-3.5,3.0,0,11.3913
-3.5,3.5,0,11.3441
-3.5,4.0,0,11.2936
-3.5,4.5,0,11.244
-3.5,5.0,0,11.2003
-3.5,5.5,0,11.1641
-3.5,6.0,0,11.1373
-3.5,6.5,0,11.121
-3.5,7.0,0,11.1124
-3.5,7.5,0,11.1013
-3.5,8.0,0,11.0728
-3.5,8.5,0,10.9991
-3.5,9.0,0,10.8611
-3.5,9.5,0,10.5966
-3.5,10.0,0,9.9687
-4.0,-5.0,0,12.2424
-4.0,-4.5,0,12.1495
-4.0,-4.0,0,12.0955
-4.0,-3.5,0,12.0592
-4.0,-3.0,0,12.0168
-4.0,-2.5,0,11.9618
-4.0,-2.0,0,11.9032
-4.0,-1.5,0,11.853
-4.0,-1.0,0,11.8156
-4.0,-0.5,0,11.7899
-4.0,0.0,0,11.7714
-4.0,0.5,0,11.7552
-4.0,1.0,0,11.7392
-4.0,1.5,0,11.7189
-4.0,2.0,0,11.6899
-4.0,2.5,0,11.6557
-4.0,3.0,0,11.6113
-4.0,3.5,0,11.5629
-4.0,4.0,0,11.5119
-4.0,4.5,0,11.4624
-4.0,5.0,0,11.4181
-4.0,5.5,0,11.3798
-4.0,6.0,0,11.3494
-4.0,6.5,0,11.3276
-4.0,7.0,0,11.3117
-4.0,7.5,0,11.2971
-4.0,8.0,0,11.2683
-4.0,8.5,0,11.2003
-4.0,9.0,0,11.0718
-4.0,9.5,0,10.8515
-4.0,10.0,0,10.5659
-4.5,-5.0,0,12.5127
-4.5,-4.5,0,12.4161
-4.5,-4.0,0,12.3584
-4.5,-3.5,0,12.3159
-4.5,-3.0,0,12.2642
-4.5,-2.5,0,12.2048
-4.5,-2.0,0,12.1439
-4.5,-1.5,0,12.093
-4.5,-1.0,0,12.0564
-4.5,-0.5,0,12.0313
-4.5,0.0,0,12.0145
-4.5,0.5,0,11.997
-4.5,1.0,0,11.979
-4.5,1.5,0,11.9557
-4.5,2.0,0,11.9222
-4.5,2.5,0,11.886
-4.5,3.0,0,11.8402
-4.5,3.5,0,11.7899
-4.5,4.0,0,11.7378
-4.5,4.5,0,11.6879
-4.5,5.0,0,11.6418
-4.5,5.5,0,11.6014
-4.5,6.0,0,11.5675
-4.5,6.5,0,11.5396
-4.5,7.0,0,11.5177
-4.5,7.5,0,11.4992
-4.5,8.0,0,11.4687
-4.5,8.5,0,11.4059
-4.5,9.0,0,11.2853
-4.5,9.5,0,11.0724
-4.5,10.0,0,10.803
-5.0,-5.0,0,12.7809
-5.0,-4.5,0,12.6821
-5.0,-4.0,0,12.6204
-5.0,-3.5,0,12.5716
-5.0,-3.0,0,12.5139
-5.0,-2.5,0,12.4501
-5.0,-2.0,0,12.3869
-5.0,-1.5,0,12.3361
-5.0,-1.0,0,12.2992
-5.0,-0.5,0,12.275
-5.0,0.0,0,12.2578
-5.0,0.5,0,12.2409
-5.0,1.0,0,12.2213
-5.0,1.5,0,12.1952
-5.0,2.0,0,12.1587
-5.0,2.5,0,12.1236
-5.0,3.0,0,12.076
-5.0,3.5,0,12.0244
-5.0,4.0,0,11.9708
-5.0,4.5,0,11.9186
-5.0,5.0,0,11.8708
-5.0,5.5,0,11.8266
-5.0,6.0,0,11.789
-5.0,6.5,0,11.7571
-5.0,7.0,0,11.7304
-5.0,7.5,0,11.7051
-5.0,8.0,0,11.6726
-5.0,8.5,0,11.6115
-5.0,9.0,0,11.4993
-5.0,9.5,0,11.2968
-5.0,10.0,0,11.0278
